n_steps,step_dim,attn_dim,ghost_bn,virtual_batch_size,momentum,gamma,dropout,embed_dropout,lr,batch_size,weight_decay,lambda_sparse,optimizer,lr_scheduler,base_lr,max_lr,div_factor,final_div_factor,n_cycles,val_loss_or_metric
5,32,32,True,64,0.98,1.5,0.1,0.0,0.05,1024,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3448721349239349
5,16,16,True,64,0.98,1.75,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3473570048809051
7,16,16,False,128,0.25,1.5,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.347503630651368
7,16,16,False,128,0.98,2.0,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3478830924464596
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,512,0.0,1e-05,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3489905628893111
5,64,64,True,64,0.98,1.5,0.2,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.349614249335395
5,16,16,True,128,0.98,1.5,0.0,0.0,0.05,1024,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3534960567951202
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3539216419061025
7,16,16,False,128,0.5,1.5,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3541935831308365
5,16,16,True,64,0.98,1.5,0.0,0.0,0.03,512,0.0,0.001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3553054696983761
5,16,16,True,64,0.98,1.5,0.0,0.0,0.05,1024,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3588686764240265
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3600951671600342
5,32,32,True,64,0.98,1.5,0.1,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3632458680205875
5,32,32,True,64,0.98,1.5,0.1,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3633748491605122
5,32,32,True,64,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3653838634490967
7,16,16,True,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3693903221024407
