embed_dropout,full_embed_dropout,shared_embed,add_shared_embed,frac_shared_embed,input_dim,n_heads,n_blocks,dropout,ff_hidden_dim,transformer_activation,mlp_hidden_dims,mlp_activation,mlp_batchnorm,mlp_batchnorm_last,mlp_linear_first,with_wide,lr,batch_size,weight_decay,optimizer,lr_scheduler,base_lr,max_lr,div_factor,final_div_factor,n_cycles,val_loss_or_metric
0.0,False,True,False,4,16,4,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2955124945276313
0.0,False,False,False,8,64,16,4,0.1,,relu,same,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2955500276552306
0.0,False,True,False,8,32,8,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2955760049323241
0.0,False,True,False,8,32,8,8,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2957663780285252
0.0,False,False,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.0004,128,0.0,RAdam,OneCycleLR,0.001,0.03,25,1000.0,5.0,0.2958076513475842
0.0,False,False,False,8,32,8,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2958143783940209
0.0,False,False,False,8,32,8,8,0.2,,relu,None,relu,False,False,False,False,0.001,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2958377218908734
0.0,False,False,False,8,16,4,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2959793077574836
0.0,False,False,False,8,32,4,8,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.29610190126631
0.0,False,False,False,8,32,8,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2961749935315715
0.0,False,False,False,8,32,4,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2962190839979384
0.0,False,True,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2962308526039123
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2963337625066439
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.296399640954203
0.0,False,False,False,8,32,8,4,0.1,,relu,same,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2964761774573061
0.0,False,False,False,8,64,16,8,0.2,,relu,None,relu,False,False,False,False,0.001,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.296487954341703
0.0,False,False,False,8,32,4,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.296572352035178
0.0,False,False,False,8,64,16,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2965899656216303
0.0,False,False,False,8,32,8,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2967545038296116
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2967757922079828
0.0,False,True,False,4,16,4,8,0.1,,relu,None,relu,False,False,False,False,0.01,128,0.0,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2968603914810551
0.0,False,True,False,8,32,8,8,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2971243945260842
0.0,False,False,False,8,64,16,8,0.2,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2971352475384871
0.0,False,True,False,8,32,8,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2971391847564114
0.0,False,True,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.297212951299217
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2972623060146968
0.0,False,False,False,8,32,4,4,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2974206432700157
0.0,False,False,False,8,64,16,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.297593662308322
0.0,False,False,False,8,32,8,8,0.2,,relu,None,relu,False,False,False,True,0.001,128,0.0,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.297601124478711
0.0,False,False,False,8,32,8,6,0.1,,relu,None,relu,False,False,False,False,0.001,128,0.0,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2978919425772296
